ID,Milestone,Category,Layer,Task,Description,Priority,Status,Depends On,Notes
MVP-013,MVP,Decision Intelligence,Decision,Risk factors output,Merge talent gaps and interview flags into decision,P1,Done,MVP-011,
MVP-014,MVP,Pipeline,—,Job / requisition CRUD,Create list and detail open roles with description requirements and team panel,P0,Done,,/jobs/[id]
MVP-015,MVP,Pipeline,—,Candidate CRUD,Person record + applications per open position; list one row per campaign,P0,Done,,
MVP-015b,MVP,Pipeline,—,Multi-position applications,JobApplication per candidate+job; person hub; apply-to-position; campaign profile,P1,Done,MVP-015,/candidates/[id]/applications/[id]
MVP-016,MVP,Pipeline,—,Pipeline stages,NEW through HIRED/REJECTED per JobApplication; auto advance on interview,P1,Done,MVP-015,No manual stage editor yet
MVP-017,MVP,Pipeline,—,Stage badges UI,ATS-style pipeline stage labels in list and profile,P2,Done,MVP-016,
MVP-018,MVP,UI,—,Hiring dashboard,People + position-review stats and recent application activity,P0,Done,MVP-015b,
MVP-019,MVP,UI,—,Three-layer candidate profile,Talent Interview Decision per application; person hub lists campaigns,P0,Done,MVP-015b,/candidates/[id]/applications/[id]
MVP-020,MVP,UI,—,Trust and advisory messaging,Banners clarifying AI assists does not replace human judgment,P1,Done,,
MVP-021,MVP,API,—,REST API routes,Jobs candidates applications talent interviews resume parse auth invites admin,P0,Done,MVP-015b,
MVP-022,MVP,Platform,—,Local development runbook,Docker Postgres db push db:seed db:migrate-applications npm run dev documented,P1,Done,,
MVP-023,MVP,Talent Intelligence,Talent,Resume PDF upload,Upload PDF/DOCX parse API and new-candidate upload UI,P1,Done,,pdf-parse mammoth
MVP-024,MVP,Talent Intelligence,Talent,LinkedIn profile ingestion,Parse/paste or fetch profile URL; merge linkedInText into talent engine,P2,Done,MVP-015,/api/linkedin/parse /api/candidates/[id]/linkedin
MVP-025,MVP,Talent Intelligence,Talent,GitHub / portfolio parsing,Extract signals from repos and portfolio URLs,P2,Not Started,,URL fields on intake only
MVP-026,MVP,Pipeline,—,Candidate notes and tagging,Add view delete notes with tags on candidate person profile,P1,Done,MVP-015,/api/candidates/[id]/notes
MVP-027,MVP,Pipeline,—,Basic interview scheduling,Schedule datetime + meeting link; .ics calendar download,P2,Done,MVP-007,InterviewWorkflowPanel
MVP-028,MVP,Platform,—,Authentication,Login signup invite NextAuth JWT sessions middleware,P0,Done,,
MVP-029,MVP,Platform,—,Database ACL engine,Role Permission RolePermission org-scoped data organizationId on entities,P0,Done,MVP-028,
MVP-029b,MVP,Platform,—,Job interviewer assignments,JobAssignment + JOB_INTERVIEWER role permissions job team UI,P1,Done,MVP-029,/jobs/[id] team panel
MVP-029c,MVP,Platform,—,Platform super admin,PLATFORM_SUPER_ADMIN seed env bootstrap login sync cross-tenant /admin,P0,Done,MVP-029,db:seed db:bootstrap-admin SUPER_ADMIN_EMAIL
MVP-029d,MVP,Platform,—,Platform operator workspace guard,Login→/admin; block hiring writes (TENANT_CONTEXT_REQUIRED); customer-only metrics; optional operatorBrowse read-only,P1,Done,MVP-029c,middleware cookie + read-only UI
MVP-030,MVP,Interview Intelligence,Interview,Interview recording upload,Upload audio/video to local storage; status RECORDED,P1,Done,MVP-007,/interviews/[id]/recording
MVP-031,MVP,Interview Intelligence,Interview,Whisper transcription,OpenAI Whisper transcript from recording; status TRANSCRIBED,P1,Done,MVP-030,/interviews/[id]/transcribe
MVP-032,MVP,UI,—,Empty states and onboarding,Getting started checklist + EmptyState on dashboard jobs candidates,P2,Done,MVP-014,Dismissible localStorage banner
MVP-033,MVP,Platform,—,Error handling and logging,Structured JSON errors + requestId middleware + runApiRoute completion logs,P1,Done,,JSON logs phase start/complete
MVP-034,MVP,Platform,—,MVP QA and test plan,Automated npm run qa scripts + manual demo checklist in docs/QA.md,P1,Done,,resume-extract validators intelligence
MVP-035,MVP,Platform,—,MVP deployment,Deploy to staging Vercel/Railway + managed Postgres,P1,Not Started,MVP-029c,
MVP-036,MVP,Decision Intelligence,Decision,Phased hiring intelligence,Role fit and hire confidence only with campaign + interview; honest pending states,P1,Done,MVP-015b,candidate-context IntelligencePhasePanel
MVP-037,MVP,UI,—,Applicant intake position picker,Server-loaded open roles; compact custom dropdown (scrollable menu),P1,Done,MVP-014|MVP-023,/candidates/new
MVP-038,MVP,Platform,—,JobApplication DB migration,prisma/migrate-to-applications.ts for legacy Candidate.jobId upgrades,P2,Done,MVP-015b,npm run db:migrate-applications
MVP-039,MVP,UI,—,Auth experience redesign,HR-themed login/signup with AuthLayout and AuthField components,P2,Done,MVP-028,/login /signup
MVP-040,MVP,Platform,—,Multi-provider LLM layer,OpenAI Anthropic Google Gemini via LLM_PROVIDER; /api/llm/status; docs/LLM.md,P1,Done,MVP-005,Whisper still OpenAI-only
P2-001,Phase 2,Interview Intelligence,Interview,Real-time interview assist,Live suggestions follow-up questions during interview,P0,Done,MVP-031,Core Phase 2 moat — live-assist engine + panel + API
P2-002,Phase 2,Interview Intelligence,Interview,Real-time inconsistency flags,Flag contradictions as they occur in live transcript,P1,Done,P2-001,inconsistency-engine + live panel flags
P2-003,Phase 2,Interview Intelligence,Interview,Cross-signal validation,Compare resume claims vs interview answers,P0,Done,MVP-008,cross-signal-engine vs resume + talent profile
P2-004,Phase 2,Interview Intelligence,Interview,Mismatch alerts UI,Surface resume vs interview gaps with evidence,P1,Done,P2-003,MismatchAlertsList in live assist panel
P2-005,Phase 2,Interview Intelligence,Interview,AI-generated interview questions,Role-specific question bank generation,P1,Done,MVP-014,question-bank-engine + job/campaign UI + API
P2-006,Phase 2,Interview Intelligence,Interview,Interview quality analysis,Score interviewer question coverage probing bias,P1,Done,MVP-008,interviewer-quality-engine + panel on analyzed interviews
P2-007,Phase 2,Interview Intelligence,Interview,Audio signal extraction,Pauses tone shifts from audio stream,P2,Done,MVP-031,audio-signal-engine WAV PCM + transcript fallback
P2-008,Phase 2,Interview Intelligence,Interview,Video behavioral metrics,Engagement facial cues opt-in ethical guardrails,P2,Done,MVP-030,opt-in capture panel + FaceDetector/motion + aggregated metrics API
P2-009,Phase 2,Talent Intelligence,Talent,Talent Discovery Engine,AI search across talent pools multi-source ingestion,P1,Done,,talent pools + ingest API + discovery index on Candidate
P2-010,Phase 2,Talent Intelligence,Talent,Ranked candidate search,"""Find backend engineers with distributed systems""",P1,Done,P2-009,NL search API + /talent ranked results panel
P2-011,Phase 2,Talent Intelligence,Talent,Suggested candidates,Recommend from internal database,P2,Done,P2-009,suggest-engine + job page panel + API
P2-012,Phase 2,Outreach,—,Outreach Engine foundation,Campaign model templates tracking,P1,Done,,OutreachTemplate/Campaign/Message models + /outreach UI + APIs
P2-013,Phase 2,Outreach,—,AI personalized outreach,Generate tailored candidate messages,P1,Done,P2-012,personalize-engine + generate API + campaign detail panel
P2-014,Phase 2,Outreach,—,Response tracking,Track opens replies campaign status,P2,Done,P2-012,tracking-engine + webhook + send API + funnel stats
P2-015,Phase 2,Assessment,—,Assessment Engine,AI-generated real-world tasks scenarios,P1,Done,,assessment-engine + job page panel + task APIs
P2-016,Phase 2,Assessment,—,Automated task evaluation,Code product ops scenario scoring,P1,Done,P2-015,evaluation-engine + submit/evaluate APIs + application panel
P2-017,Phase 2,Assessment,Decision,Assessment in decision layer,Feed assessment results into hire confidence,P1,Done,P2-016,decision weights blend assessment into hire confidence
P2-018,Phase 2,AI Copilot,—,Copilot chat interface,"""Show top candidates for this role""",P1,Done,,copilot chat API + /copilot page + top-candidates intent
P2-019,Phase 2,AI Copilot,—,Candidate comparison copilot,"""Why is A better than B?""",P1,Done,P2-018,compare-handler + compare dropdowns in copilot UI
P2-020,Phase 2,AI Copilot,—,Interview summary copilot,"""Summarize this interview""",P2,Done,P2-018,interview-summary-handler + interview context selector
P2-021,Phase 2,Platform,—,Media storage pipeline,S3-compatible storage for recordings resumes,P1,Done,,storage provider (local + S3) + resume persistence + /api/storage/status
P2-022,Phase 2,Platform,—,Async job queue,Background workers for transcription and analysis,P1,Done,P2-021,BackgroundJob model + async transcribe/analyze + worker script + UI polling
P2-023,Phase 2,UI,—,Kanban pipeline view,Drag-drop candidates across stages,P2,Done,MVP-016,/pipeline kanban + PATCH stage API + job filter
P2-024,Phase 2,UI,—,Printable candidate brief,Export hire committee PDF summary,P2,Done,,brief page + print/PDF export + GET brief API
P2-025,Phase 2,Platform,—,Email notifications,Stage change interview analyzed alerts,P2,Done,MVP-028,EmailNotification model + stage/analyze hooks + /settings/notifications
P3-001,Phase 3,Learning Engine,—,Outcome feedback collection,Record hire/reject/onboarding outcomes,P0,Not Started,,
P3-002,Phase 3,Learning Engine,—,Recruiter feedback loop,Thumbs up/down on recommendations signals,P1,Not Started,P3-001,
P3-003,Phase 3,Learning Engine,—,Scoring model improvement,Retrain weights from outcomes over time,P1,Not Started,P3-001,
P3-004,Phase 3,Analytics,—,Predictive hiring success,Model likelihood of success in role,P1,Not Started,P3-001,
P3-005,Phase 3,Analytics,—,Org-level hiring analytics,Team dashboards time-to-hire quality metrics,P1,Not Started,,
P3-006,Phase 3,Analytics,—,Bias and fairness reporting,Aggregate bias indicators across interviews,P1,Not Started,P2-006,
P3-007,Phase 3,Talent Intelligence,Talent,Passive candidate signals,External labor market data integration,P2,Not Started,,
P3-008,Phase 3,Talent Intelligence,Talent,Career trajectory modeling,Long-term growth consistency signals,P2,Not Started,,
P3-009,Phase 3,Platform,—,Multi-tenant organizations,Organization model slug org-scoped jobs and candidates signup per tenant,P1,Done,MVP-028,MVP baseline
P3-010,Phase 3,Platform,—,Team and seat management,Invite users org roles settings/team job interviewer assignments,P1,Done,MVP-029|MVP-029b
P3-011,Phase 3,Platform,—,Platform admin enhancements,Tenant impersonation usage analytics billing hooks,P2,Not Started,MVP-029c,Extends CP-024
CP-001,Complete Product,Platform,—,Production infrastructure,HA Postgres Redis CDN monitoring alerting,P0,Not Started,MVP-035,
CP-002,Complete Product,Platform,—,CI/CD pipeline,Automated test lint build deploy on merge,P0,Not Started,,
CP-003,Complete Product,Platform,—,Automated test suite,Unit integration E2E for intelligence engines,P0,Not Started,,
CP-004,Complete Product,Security,—,SOC2-ready security baseline,Encryption audit logs secrets management,P1,Not Started,MVP-028,
CP-005,Complete Product,Compliance,—,GDPR / data privacy,Consent retention deletion candidate data rights,P0,Not Started,,
CP-006,Complete Product,Compliance,—,AI transparency compliance,Document model usage human-in-loop policies,P1,Not Started,,
CP-007,Complete Product,Compliance,—,Recording consent workflow,Explicit opt-in for interview recording,P0,Not Started,MVP-030,
CP-008,Complete Product,Integrations,—,ATS integrations,Greenhouse Lever Ashby sync bi-directional,P1,Not Started,,
CP-009,Complete Product,Integrations,—,Calendar integrations,Google/Outlook scheduling for interviews,P2,Not Started,,
CP-010,Complete Product,Integrations,—,HRIS integrations,Workday BambooHR post-hire sync,P2,Not Started,,
CP-011,Complete Product,Integrations,—,Slack / Teams notifications,Hiring updates in team channels,P2,Not Started,,
CP-012,Complete Product,Platform,—,API for partners,Public REST API webhooks for enterprise,P2,Not Started,,
CP-013,Complete Product,Platform,—,Service extraction,Split talent interview decision media into services,P2,Not Started,P2-022,
CP-014,Complete Product,Talent Intelligence,Talent,Full skill graph engine,Deep skill ontology experience depth modeling,P1,Not Started,P3-008,
CP-015,Complete Product,Interview Intelligence,Interview,Full cognitive signal suite,All spec signals with validated accuracy guardrails,P0,Not Started,P2-007|P2-008,
CP-016,Complete Product,Interview Intelligence,Interview,Cross-interview memory,Compare past answers across rounds,P1,Not Started,P2-003,
CP-017,Complete Product,Decision Intelligence,Decision,Multi-candidate comparison,Side-by-side ranking for same role,P1,Not Started,,
CP-018,Complete Product,Decision Intelligence,Decision,Committee decision workflow,Multiple reviewer votes comments approvals,P2,Not Started,,
CP-019,Complete Product,UI,—,Mobile-responsive recruiter app,Full workflow usable on tablet/mobile,P2,Not Started,,
CP-020,Complete Product,UI,—,Accessibility WCAG 2.1 AA,Screen reader keyboard contrast compliance,P1,Not Started,,
CP-021,Complete Product,Platform,—,Performance at scale,Support 10k+ candidates sub-second list views,P1,Not Started,CP-013,
CP-022,Complete Product,Platform,—,Internationalization,i18n for multi-region HR teams,P3,Not Started,,
CP-023,Complete Product,Commercial,—,Billing and subscriptions,Stripe plans seat-based pricing,P2,Not Started,P3-009,
CP-024,Complete Product,Commercial,—,Admin console,Super-admin org list customer-only platform stats operator home,P2,Done,MVP-029c|MVP-029d,/admin; impersonation in P3-011
CP-025,Complete Product,Documentation,—,Customer help center,Recruiter guides FAQs video walkthroughs,P2,Not Started,,
CP-026,Complete Product,Documentation,—,API documentation,OpenAPI spec developer portal,P2,Not Started,CP-012,
CP-027,Complete Product,Quality,—,Intelligence accuracy benchmarking,Lab dataset precision/recall metrics per signal,P1,Not Started,CP-015,
CP-028,Complete Product,Quality,—,Human-in-loop review mode,Recruiter override and feedback on every signal,P1,Not Started,P3-002,
